type;varietal;food
White Wine;Pinot Blanc;Herring (Smoked Fish)
Beer;Pilsner;Herring (Smoked Fish)
White Wine;Muscadet;Herring (Smoked Fish)
Beer;Gueuze;Herring (Smoked Fish)
Beer;Flemish Red Ale;Herring (Smoked Fish)
Beer;Felmish Brown Ale;Herring (Smoked Fish)
Sparkling Wine;Champagne;Herring (Smoked Fish)
Beer;Beer;Herring (Smoked Fish)
White Wine;Sauvignon Blanc;Herbed Sole
White Wine;Gruner Veltliner;Herbed Sole
Red Wine;Zinfandel;Herbed Dishes
White Wine;Viognier;Herbed Dishes
Red Wine;Shiraz;Herbed Dishes
White Wine;Semillon;Herbed Dishes
White Wine;Sauvignon Blanc;Herbed Dishes
White Wine;Sauvignon Blanc;Herbed Dishes
White Wine;Sancerre;Herbed Dishes
Red Wine;Rioja, Red;Herbed Dishes
White Wine;Riesling, Alsace;Herbed Dishes
Red Wine;Rhone, Red Wine;Herbed Dishes
White Wine;Pouilly Fume;Herbed Dishes
Red Wine;Merlot;Herbed Dishes
White Wine;Gruner Veltliner;Herbed Dishes
White Wine;Gewurztraminer;Herbed Dishes
Red Wine;Chianti DOCG;Herbed Dishes
Red Wine;Cabernet Sauvignon;Herbed Dishes
Red Wine;Cabernet Franc;Herbed Dishes
Red Wine;Beaujolais;Herbed Dishes
White Wine;Sauvignon Blanc;Herbed Chicken
Rose;Rose;Herbed Chicken
Red Wine;Beaujolais;Herbed Chicken
Other;Bandol, Red/White AOC;Herbed Chicken
Port;Port, Vintage;Hazelnuts
White Wine;Chardonnay;Hazelnuts
White Wine;Burgundy, White;Hazelnuts
Dessert Wine;Vin Santo;Hazelnut Desserts
Sherry;Sherry, Oloroso;Hazelnut Desserts
Dessert Wine;Sauternes;Hazelnut Desserts
White Wine;Riesling, Alsace;Hazelnut Desserts
Dessert Wine;Quarts de Chaume;Hazelnut Desserts
Dessert Wine;Madeira, Malmsey;Hazelnut Desserts
Sherry;Sherry, Oloroso;Hazelnut Banana French Toast
Dessert Wine;Sauternes;Hazelnut Banana French Toast
Sparkling Wine;Prosecco;Hazelnut Banana French Toast
Port;Port, Tawny;Hazelnut Banana French Toast
Tea;Oolong;Hazelnut Banana French Toast
Dessert Wine;Ice Wine;Hazelnut Banana French Toast
Dessert Wine;Banyuls;Hazelnut Banana French Toast
White Wine;Sauvignon Blanc;Havarti Cheese
Other;Rioja, Red or White;Havarti Cheese
White Wine;Riesling;Havarti Cheese
Beer;Pilsner;Havarti Cheese
White Wine;Muscadet;Havarti Cheese
Beer;Lager;Havarti Cheese
White Wine;Chenin Blanc;Havarti Cheese
White Wine;Chardonnay;Havarti Cheese
Red Wine;Cabernet Sauvignon;Havarti Cheese
Sparkling Wine;Sparkling Wine;Hash Chicken
White Wine;Riesling, Alsace;Hash Chicken
Sparkling Wine;Champagne;Hash Chicken
White Wine;Sauvignon Blanc;Haricot Verts (French Green Beans)
White Wine;Sancerre;Haricot Verts (French Green Beans)
White Wine;White Zinfandel;Hamburgers with Sweet Pickle Relish
White Wine;Gewurztraminer;Hamburgers with Sweet Pickle Relish
Sparkling Wine;Sparkling Wine;Hamburgers with Mustard
Beer;Beer;Hamburgers with Mustard
Red Wine;Beaujolais;Hamburgers with Ketchup
Beer;Belgian Beer;Hamburgers with Everything (The Works)
Red Wine;Rioja, Red;Hamburgers with Cheese and Bacon
Beer;Beer;Hamburgers with Cheese and Bacon
Red Wine;Zinfandel;Hamburgers Grilled
Red Wine;Shiraz;Hamburgers Grilled
Red Wine;Monastrell;Hamburgers Grilled
Red Wine;Merlot;Hamburgers Grilled
Red Wine;Garnacha;Hamburgers Grilled
Beer;English Brown Ale;Hamburgers Grilled
Red Wine;Cabernet Sauvignon;Hamburgers Grilled
Red Wine;Cotes du Rhone, Red;Hamburgers Grilled
Beer;Amber Ale;Hamburgers Grilled
Red Wine;Zinfandel;Hamburgers
Red Wine;Syrah;Hamburgers
Red Wine;Shiraz;Hamburgers
Beer;Schwarzbier;Hamburgers
Rose;Rosedo;Hamburgers
Rose;Rose;Hamburgers
Red Wine;Pinot Noir;Hamburgers
Beer;Pilsner;Hamburgers
Beer;Pale Ale;Hamburgers
Dairy;Milkshake;Hamburgers
Red Wine;Merlot;Hamburgers
Red Wine;Malbec;Hamburgers
Juice;Lemonade;Hamburgers
Beer;India Pale Ale - IPA;Hamburgers
Red Wine;Dolcetto d'Alba DOC;Hamburgers
Red Wine;Chianti DOCG;Hamburgers
Red Wine;Cabernet Sauvignon;Hamburgers
Red Wine;Cotes du Rhone, Red;Hamburgers
Red Wine;Burgundy, Red;Hamburgers
Red Wine;Bordeaux AOC Red;Hamburgers
Red Wine;Baco Noir;Hamburgers
Beer;American Brown Ale;Hamburgers
Beer;Amber Ale;Hamburgers
Beer;Altbier Beer;Hamburgers
Rose;Rose;Ham with Pineapple
White Wine;Chardonnay;Ham with Pineapple
Rose;Rose;Ham and Cheese Sandwich (Gruyere)
Red Wine;Merlot;Ham and Cheese Sandwich (Gruyere)
Red Wine;Cotes du Rhone, Red;Ham and Cheese Sandwich (Gruyere)
Beer;Beer;Ham and Cheese Sandwich (Gruyere)
Red Wine;Beaujolais;Ham and Cheese Sandwich (Gruyere)
Red Wine;Zinfandel;Ham
Red Wine;Tempranillo (no oak);Ham
Sparkling Wine;Sparkling Wine, Rose;Ham
Beer;Smoked Beer;Ham
Sherry;Sherry, Oloroso;Ham
Sherry;Sherry, Fino;Ham
Rose;Rose;Ham
Rose;Rose;Ham
White Wine;Riesling;Ham
Red Wine;Pinot Noir;Ham
White Wine;Pinot Grigio;Ham
Juice;Pineapple Juice;Ham
Beer;Pilsner;Ham
Beer;Oktoberfest Marzen;Ham
Red Wine;Merlot;Ham
Other;Mead;Ham
Red Wine;Malbec;Ham
Red Wine;Macon, Red;Ham
Red Wine;Lambrusco;Ham
Beer;Lager;Ham
Beer;Irish Stout;Ham
Beer;Helles;Ham
White Wine;Gruner Veltliner;Ham
Pop;Gingerale;Ham
White Wine;Gewurztraminer;Ham
Beer;English Brown Ale;Ham
Beer;Dortmunder Export;Ham
Beer;Doppelbock;Ham
Pop;Cola;Ham
Beer;Cider;Ham
Red Wine;Chinon, Red (AOC);Ham
White Wine;Chardonnay, Unoaked;Ham
Sparkling Wine;Champagne;Ham
White Wine;Chablis;Ham
Red Wine;Burgundy, Red;Ham
Liquor;Bourbon and Bourbon Cocktails;Ham
Beer;Belgian Ale;Ham
Red Wine;Beaujolais, Cru;Ham
Beer;Ale;Ham
White Wine;Riesling;Halibut in a Creamy Sauce
Beer;Witbier/Belgian White Beer;Halibut
Beer;Wheat Beer;Halibut
Beer;Weisse/Weissbier;Halibut
White Wine;Vouvray;Halibut
White Wine;Savennieres;Halibut
White Wine;Pouilly Fume;Halibut
Red Wine;Pinot Noir;Halibut
Red Wine;Pinot Noir;Halibut
White Wine;Muscadet;Halibut
White Wine;Kabinett Riesling;Halibut
Beer;Kolsch;Halibut
Beer;Helles;Halibut
White Wine;Gruner Veltliner;Halibut
White Wine;Chardonnay, Unoaked;Halibut
White Wine;Chablis;Halibut
White Wine;Burgundy, White;Halibut
White Wine;Bordeaux AOC White;Halibut
Beer;American Wheat Beer;Halibut
Beer;Smoked Beer;Haggis
Beer;Scotch Ale;Haggis
Beer;British Brown Ale;Haggis
Beer;Weisse/Weissbier;Haddock Smoked
White Wine;Vouvray;Haddock Smoked
Beer;Smoked Beer;Haddock Smoked
Sherry;Sherry;Haddock Smoked
Rose;Rose;Haddock Smoked
White Wine;Gewurztraminer, Alsace;Haddock Smoked
White Wine;Sauvignon Blanc;Haddock
White Wine;Riesling, Alsace;Haddock
White Wine;Pouilly Fume;Haddock
Liquor;Lemon Based Drinks;Haddock
White Wine;Chardonnay;Haddock
White Wine;Chablis;Haddock
White Wine;Burgundy, White;Haddock
White Wine;Viognier;Habanero Chilie
White Wine;Chardonnay;Habanero Chilie
Red Wine;Beaujolais, Cru;Habanero Chilie
Beer;Amber Ale;Gyro
White Wine;White Zinfandel;Gumbo
Beer;Weissbock;Gumbo
Red Wine;Pinot Noir;Gumbo
Beer;Pale Ale;Gumbo
Beer;Lager;Gumbo
Beer;Dortmunder Export;Gumbo
Beer;American Pale Ale;Gumbo
Beer;American India Pale Ale;Gumbo
Beer;American Brown Ale;Gumbo
Beer;Amber Lager;Gumbo
Dessert Wine;Muscat, Orange;Gulab Jamun
White Wine;Gewurztraminer;Gulab Jamun
White Wine;Gewurztraminer;Gulab Jamun
Juice;Tropical Fruit Drinks;Guavas
White Wine;Riesling;Guavas
White Wine;Kabinett Riesling;Guavas
Red Wine;Syrah, Languedoc;Guajillo Chilie
Red Wine;Syrah;Guajillo Chilie
Red Wine;Syrah;Guajillo Chilie
White Wine;Torrontes;Guacamole
White Wine;Sauvignon Blanc;Guacamole
White Wine;Sauvignon Blanc;Guacamole
White Wine;Sancerre;Guacamole
White Wine;Pinot Grigio;Guacamole
Liquor;Margarita;Guacamole
White Wine;Kabinett Riesling;Guacamole
White Wine;Gruner Veltliner;Guacamole
White Wine;Chardonnay, Unoaked;Guacamole
Sparkling Wine;Champagne;Guacamole
Beer;Beer;Guacamole
Beer;American Pale Ale;Guacamole
Beer;American India Pale Ale;Guacamole
Beer;Amber Ale;Guacamole
Red Wine;Zinfandel;Gruyere Cheese
White Wine;White Wine;Gruyere Cheese
Sparkling Wine;Sparkling Wine, Demi-Sec;Gruyere Cheese
Sherry;Sherry, Fino;Gruyere Cheese
White Wine;Sauvignon Blanc;Gruyere Cheese
Dessert Wine;Riesling, Late Harvest;Gruyere Cheese
White Wine;Riesling;Gruyere Cheese
Red Wine;Pinot Noir;Gruyere Cheese
White Wine;Gewurztraminer;Gruyere Cheese
White Wine;Chardonnay;Gruyere Cheese
Sparkling Wine;Champagne, Dry;Gruyere Cheese
Sparkling Wine;Champagne, Blanc de blancs;Gruyere Cheese
White Wine;Burgundy, White;Gruyere Cheese
Red Wine;Burgundy, Red;Gruyere Cheese
Beer;Beer;Gruyere Cheese
White Wine;Chardonnay;Grouper Sauteed
White Wine;Burgundy, White;Grouper Sauteed
Rose;Rose;Grouper Grilled
Red Wine;Tempranillo;Grouper
White Wine;Semillon;Grouper
White Wine;Sauvignon Blanc;Grouper
White Wine;Arneis;Grouper
Red Wine;Zinfandel;Grilled Vegetable Sandwich
White Wine;Sauvignon Blanc;Grilled Vegetable Sandwich
White Wine;Riesling;Grilled Vegetable Sandwich
White Wine;Pinot Grigio;Grilled Vegetable Sandwich
White Wine;Chardonnay, Unoaked;Grilled Vegetable Sandwich
White Wine;Chardonnay;Grilled Vegetable Sandwich
Red Wine;Cabernet Franc;Grilled Vegetable Sandwich
Red Wine;Beaujolais;Grilled Vegetable Sandwich
White Wine;Sauvignon Blanc;Grilled Vegetable Salad
Red Wine;Merlot;Grilled Vegetable Salad
Red Wine;Zinfandel;Grilled Sausage
Red Wine;Beaujolais;Grilled Sausage
Sparkling Wine;Sparkling Wine;Grilled Lobster
White Wine;Savennieres;Grilled Lobster
White Wine;Sancerre;Grilled Lobster
White Wine;Meursault;Grilled Lobster
White Wine;Gewurztraminer;Grilled Lobster
Sparkling Wine;Champagne;Grilled Lobster
White Wine;Burgundy, White;Grilled Lobster
Red Wine;Zinfandel;Grilled Lamb
Red Wine;Syrah;Grilled Lamb
Red Wine;Shiraz;Grilled Lamb
Beer;Schwarzbier;Grilled Lamb
Red Wine;Rioja, Red;Grilled Lamb
Red Wine;Rhone, Red Wine;Grilled Lamb
Beer;Irish Stout;Grilled Lamb
Red Wine;Cabernet Sauvignon;Grilled Lamb
Beer;British Brown Ale;Grilled Lamb
Beer;American Brown Ale;Grilled Lamb
Beer;American Amber Ale;Grilled Lamb
Red Wine;Aglianico;Grilled Lamb
Red Wine;Syrah;Grilled Eggplant
Red Wine;Shiraz;Grilled Eggplant
Red Wine;Rhone, Red Wine;Grilled Eggplant
Red Wine;Cabernet Sauvignon;Grilled Eggplant
Red Wine;Aglianico;Grilled Eggplant
Red Wine;Zinfandel;Grilled Duck
Red Wine;Syrah;Grilled Duck
Other;Rioja, Red or White;Grilled Duck
Red Wine;Pinot Noir;Grilled Duck
Red Wine;Merlot;Grilled Duck
Red Wine;Cabernet Sauvignon;Grilled Duck
Red Wine;Cabernet Franc;Grilled Duck
Red Wine;Bordeaux AOC Red;Grilled Duck
Red Wine;Beaujolais;Grilled Duck
Red Wine;Zinfandel;Grilled Dishes
White Wine;Vin Gris;Grilled Dishes
Red Wine;Syrah;Grilled Dishes
Red Wine;Super Tuscan;Grilled Dishes
Sparkling Wine;Sparkling Wine;Grilled Dishes
Red Wine;Shiraz;Grilled Dishes
White Wine;Sauvignon Blanc;Grilled Dishes
Red Wine;Sangiovese;Grilled Dishes
Rose;Rose;Grilled Dishes
White Wine;Riesling;Grilled Dishes
Red Wine;Rhone, Red Wine;Grilled Dishes
Red Wine;Pinot Noir;Grilled Dishes
Red Wine;Petite Sirah;Grilled Dishes
Other;Oaked Wine;Grilled Dishes
White Wine;Navarra;Grilled Dishes
Red Wine;Merlot;Grilled Dishes
White Wine;Gewurztraminer;Grilled Dishes
White Wine;Fume Blanc;Grilled Dishes
Red Wine;Crianza;Grilled Dishes
White Wine;Chardonnay;Grilled Dishes
White Wine;Chardonnay;Grilled Dishes
Red Wine;Cabernet Sauvignon;Grilled Dishes
Red Wine;Beaujolais;Grilled Dishes
White Wine;Riesling;Grilled Crayfish/Crawfish
Red Wine;Zinfandel;Grilled Chicken
Red Wine;Syrah;Grilled Chicken
Red Wine;Shiraz;Grilled Chicken
White Wine;Sauvignon Blanc;Grilled Chicken
White Wine;Riesling;Grilled Chicken
White Wine;Pinot Gris;Grilled Chicken
White Wine;Pinot Grigio;Grilled Chicken
White Wine;Chardonnay;Grilled Chicken
White Wine;Cotes du Rhone, Red/White;Grilled Chicken
Beer;Beer;Grilled Chicken
Red Wine;Beaujolais;Grilled Chicken
Red Wine;Zinfandel;Grilled Cheese Sandwich
Red Wine;Pinot Noir;Grilled Cheese Sandwich
Beer;Pilsner;Grilled Cheese Sandwich
White Wine;Chardonnay;Grilled Cheese Sandwich
Red Wine;Beaujolais;Grilled Cheese Sandwich
Beer;American Amber Ale;Grilled Cheese Sandwich
White Wine;Sauvignon Blanc;Grilled Bluefish
White Wine;Sauvignon Blanc;Green Salad with Goat Cheese
White Wine;Sancerre;Green Salad with Goat Cheese
White Wine;Pouilly Fume;Green Salad with Goat Cheese
Pop;Beezlenut Splash;Green Eggs and Ham
Red Wine;Zinfandel;Green Bell Pepper
Red Wine;Tempranillo;Green Bell Pepper
Red Wine;Syrah;Green Bell Pepper
Red Wine;Shiraz;Green Bell Pepper
White Wine;Semillon;Green Bell Pepper
White Wine;Sauvignon Blanc;Green Bell Pepper
Rose;Rosedo;Green Bell Pepper
Red Wine;Rioja, Red;Green Bell Pepper
White Wine;Riesling;Green Bell Pepper
White Wine;Pouilly Fume;Green Bell Pepper
Red Wine;Merlot;Green Bell Pepper
Red Wine;Cabernet Sauvignon;Green Bell Pepper
Red Wine;Cabernet Franc;Green Bell Pepper
Red Wine;Cotes du Rhone, Red;Green Bell Pepper
Red Wine;Beaujolais;Green Bell Pepper
White Wine;Sauvignon Blanc;Green Beans
White Wine;Sancerre;Green Beans
White Wine;Riesling;Green Beans
White Wine;Chardonnay;Green Beans
Red Wine;Zinfandel;Greek Cuisne Meat Dishes
Red Wine;Shiraz;Greek Cuisne Meat Dishes
Other;Rioja, Red or White;Greek Cuisne Meat Dishes
Red Wine;Valpolicella;Greek Cuisine
White Wine;Sauvignon Blanc;Greek Cuisine
Rose;Rose;Greek Cuisine
White Wine;Roditis;Greek Cuisine
White Wine;Retsina;Greek Cuisine
White Wine;Pinot Grigio;Greek Cuisine
Beer;Lager;Greek Cuisine
Other;Greek Wine;Greek Cuisine
Liquor;Brandy;Greek Cuisine
White Wine;Bordeaux AOC White;Greek Cuisine
Red Wine;Beaujolais;Greek Cuisine
White Wine;Vouvray;Gravlax
White Wine;Spatlese Riesling;Gravlax
White Wine;Riesling;Gravlax
White Wine;Pinot Gris, Alsace;Gravlax
White Wine;Kabinett Riesling;Gravlax
White Wine;Gewurztraminer;Gravlax
White Wine;Chardonnay;Gravlax
Sparkling Wine;Champagne, Brut;Gravlax
Sparkling Wine;Champagne, Blanc de blancs;Gravlax
Beer;Beer;Gravlax
Other;Aquavit;Gravlax
Rose;Rose;Grapefruit Desserts
White Wine;Riesling;Grapefruit Desserts
Dessert Wine;Muscat, Orange;Grapefruit Desserts
Dessert Wine;Ice Wine;Grapefruit Desserts
Beer;Pale Ale;Grapefruit Arugula Salad
Beer;American India Pale Ale;Grapefruit Arugula Salad
Liquor;Vodka and Vodka Based Drinks;Grapefruit
White Wine;Vinho Verde;Grapefruit
Sparkling Wine;Sparkling Wine;Grapefruit
White Wine;Sauvignon Blanc;Grapefruit
Liquor;Rum and Rum Based Drinks;Grapefruit
White Wine;Pouilly Fume;Grapefruit
Liquor;Grand Marnier and Grand Marnier Cocktails;Grapefruit
Liquor;Curacao and Curacao Cocktails;Grapefruit
Liquor;Cointreau and Cointreau based Cocktails;Grapefruit
Sparkling Wine;Champagne;Grapefruit
Liquor;Campari and Campari Based Drinks;Grapefruit
Sparkling Wine;Prosecco;Grana Cheese
Red Wine;Brunello di Montalcino (DOCG);Grana Cheese
Red Wine;Barolo;Grana Cheese
Red Wine;Barbaresco DOCG;Grana Cheese
Red Wine;Amarone;Grana Cheese
Beer;Trappist;Goulash
Beer;Spiced Beer;Goulash
Beer;Dunkel/Dunkles;Goulash
Beer;Doppelbock;Goulash
Beer;Baltic Porter;Goulash
Beer;Abbey Beer;Goulash
Sherry;Sherry;Gouda Cheese
White Wine;Riesling, Spatlese;Gouda Cheese
White Wine;Riesling;Gouda Cheese
Beer;Porter, Dry;Gouda Cheese
White Wine;Pinot Blanc;Gouda Cheese
Red Wine;Merlot;Gouda Cheese
Beer;India Pale Ale - IPA;Gouda Cheese
Beer;English Brown Ale;Gouda Cheese
Red Wine;Dolcetto;Gouda Cheese
White Wine;Chenin Blanc;Gouda Cheese
White Wine;Chardonnay;Gouda Cheese
Sparkling Wine;Champagne;Gouda Cheese
Red Wine;Cabernet Sauvignon;Gouda Cheese
White Wine;Cote Rotie (AOC);Gouda Cheese
White Wine;Burgundy, White;Gouda Cheese
Red Wine;Brunello di Montalcino (DOCG);Gouda Cheese
Red Wine;Bordeaux AOC Red;Gouda Cheese
Beer;Belgian Beer;Gouda Cheese
Red Wine;Barolo;Gouda Cheese
Red Wine;Barbaresco DOCG;Gouda Cheese
Beer;Amber Ale;Gouda Cheese
Beer;Ale;Gouda Cheese
Red Wine;Zinfandel;Gorgonzola Cheese
Sparkling Wine;Sparkling Wine;Gorgonzola Cheese
Sherry;Sherry;Gorgonzola Cheese
Dessert Wine;Sauternes;Gorgonzola Cheese
Beer;Russian Imperial Stout;Gorgonzola Cheese
Port;Port, Vintage;Gorgonzola Cheese
Port;Port, Tawny;Gorgonzola Cheese
Beer;Old Ale;Gorgonzola Cheese
Other;Mead;Gorgonzola Cheese
Dessert Wine;Late Harvest Wines;Gorgonzola Cheese
Red Wine;Gigondas;Gorgonzola Cheese
White Wine;Gewurztraminer;Gorgonzola Cheese
Red Wine;Chianti Classico, Riserva DOCG;Gorgonzola Cheese
Red Wine;Brunello di Montalcino (DOCG);Gorgonzola Cheese
Beer;British Strong Ale;Gorgonzola Cheese
Red Wine;Barolo;Gorgonzola Cheese
Red Wine;Barbera DOC;Gorgonzola Cheese
Red Wine;Barbaresco DOCG;Gorgonzola Cheese
Red Wine;Amarone;Gorgonzola Cheese
Beer;Weissbock;Goose
Beer;Trappist;Goose
White Wine;Riesling;Goose
White Wine;Gewurztraminer;Goose
Beer;Dubbel;Goose
Beer;Doppelbock;Goose
Red Wine;Barolo;Goose
Red Wine;Barbaresco Riserva DOCG;Goose
Red Wine;Barbaresco DOCG;Goose
Beer;Baltic Porter;Goose
Beer;Abbey Beer;Goose
Red Wine;Syrah;Goat Stewed
Beer;Wheat Beer;Goat Cheese
Red Wine;Syrah;Goat Cheese
Sparkling Wine;Sparkling Wine;Goat Cheese
White Wine;Sauvignon Blanc;Goat Cheese
White Wine;Sauvignon Blanc;Goat Cheese
White Wine;Sauvignon Blanc;Goat Cheese
White Wine;Sancerre;Goat Cheese
White Wine;Sancerre;Goat Cheese
White Wine;Riesling;Goat Cheese
White Wine;Pouilly Fume;Goat Cheese
White Wine;Pouilly Fume;Goat Cheese
Red Wine;Pinot Noir;Goat Cheese
Other;Pineau des Charentes;Goat Cheese
Beer;Pilsner;Goat Cheese
Dessert Wine;Late Harvest Wines;Goat Cheese
Beer;Hefeweizen/Hefeweissbier;Goat Cheese
Juice;Cider, Non Alcoholic;Goat Cheese
White Wine;Chardonnay;Goat Cheese
Sparkling Wine;Champagne, Rose;Goat Cheese
Sparkling Wine;Champagne;Goat Cheese
White Wine;Chablis;Goat Cheese
Red Wine;Cabernet Franc;Goat Cheese
White Wine;Bordeaux AOC White;Goat Cheese
Beer;Belgian Beer;Goat Cheese
White Wine;Albarino;Goat Cheese
Red Wine;Ajaccio, Red AOC;Goat Cheese
Red Wine;Ribera del Duero, Red;Goat Barbecued
Red Wine;Malbec;Goat Barbecued
Red Wine;Cabernet Sauvignon;Goat Barbecued
Red Wine;Valpolicella;Gnocchi with Ragout
White Wine;Pinot Grigio;Gnocchi
Red Wine;Merlot;Gnocchi
Red Wine;Zinfandel;Gloucester Cheese
Red Wine;Pinot Noir;Gloucester Cheese
Beer;English Brown Ale;Gloucester Cheese
Dessert Wine;Vin Santo;Ginger Desserts (Gingerbread)
Dessert Wine;Tokaji, Hungary;Ginger Desserts (Gingerbread)
White Wine;Semillon;Ginger Desserts (Gingerbread)
Dessert Wine;Sauternes;Ginger Desserts (Gingerbread)
White Wine;Riesling;Ginger Desserts (Gingerbread)
Dessert Wine;Muscat, Sweet;Ginger Desserts (Gingerbread)
Dessert Wine;Muscat, Orange;Ginger Desserts (Gingerbread)
Dessert Wine;Muscat de Beaumes-de-Venise;Ginger Desserts (Gingerbread)
Dessert Wine;Moscato d'Asti;Ginger Desserts (Gingerbread)
Dessert Wine;Late Harvest Gewurztraminer;Ginger Desserts (Gingerbread)
Sparkling Wine;Champagne;Ginger Desserts (Gingerbread)
Fortified Wine;Barsac;Ginger Desserts (Gingerbread)
Red Wine;Zinfandel;Ginger
White Wine;Viognier;Ginger
Red Wine;Syrah;Ginger
Sparkling Wine;Sparkling Wine;Ginger
Red Wine;Shiraz;Ginger
White Wine;Sauvignon Blanc;Ginger
Beer;Sake;Ginger
White Wine;Riesling;Ginger
White Wine;Riesling;Ginger
White Wine;Riesling;Ginger
Red Wine;Pinot Noir;Ginger
White Wine;Pinot Grigio;Ginger
White Wine;Muscat;Ginger
White Wine;Gewurztraminer, Alsace;Ginger
White Wine;Chardonnay;Ginger
White Wine;Chardonnay;Ginger
Sparkling Wine;Champagne;Ginger
White Wine;Sauvignon Blanc;Gefilte Fish
White Wine;Pinot Blanc Alsace;Gefilte Fish
White Wine;Viognier;Gazpacho
White Wine;Verdejo;Gazpacho
White Wine;Soave (Superiore);Gazpacho
Sherry;Sherry, Manzanilla;Gazpacho
Sherry;Sherry, Fino;Gazpacho
Sherry;Sherry, Dry;Gazpacho
White Wine;Sauvignon Blanc;Gazpacho
White Wine;Rioja, White;Gazpacho
White Wine;Pouilly Fume;Gazpacho
White Wine;Kabinett Riesling;Gazpacho
Sparkling Wine;Cava;Gazpacho
White Wine;Albarino;Gazpacho
Beer;Stout;Garrotxa Cheese
White Wine;Riesling, Alsace;Garrotxa Cheese
White Wine;Ribera del Duero, White;Garrotxa Cheese
White Wine;Chardonnay;Garrotxa Cheese
White Wine;Chardonnay;Garlic Roasted
Red Wine;Cabernet Sauvignon;Garlic Roasted
Other;Burgundy, Red or White;Garlic Roasted
White Wine;White Wine;Garlic Raw
Red Wine;Zinfandel;Garlic
White Wine;Viognier;Garlic
Red Wine;Syrah;Garlic
Sparkling Wine;Sparkling Wine;Garlic
Red Wine;Shiraz;Garlic
Sherry;Sherry, Fino;Garlic
Sherry;Sherry, Dry;Garlic
White Wine;Sauvignon Blanc;Garlic
Rose;Rose;Garlic
Rose;Rose;Garlic
White Wine;Riesling;Garlic
White Wine;Riesling;Garlic
White Wine;Riesling;Garlic
Red Wine;Pinot Noir;Garlic
White Wine;Gewurztraminer;Garlic
Red Wine;Cotes du Rhone, Red;Garlic
Beer;Belgian Beer;Garlic
Red Wine;Barbera DOC;Garlic
Other;Bandol, Red/White AOC;Garlic
Sherry;Sherry, Amontillado;Gamonedo Cheese
Other;Bandol, Red/White AOC;Game Stewed
Red Wine;Syrah;Game Roasted
Red Wine;Shiraz;Game Roasted
Red Wine;Chateauneuf du Pape, Red;Game Roasted
Red Wine;Zinfandel;Game prepared with Fruit
Red Wine;Syrah;Game prepared with Fruit
Red Wine;Shiraz;Game prepared with Fruit
Red Wine;Zinfandel;Game Grilled
Red Wine;Syrah;Game Grilled
Red Wine;Shiraz;Game Grilled
Red Wine;Ripasso Valpolicella;Game Grilled
Red Wine;Syrah;Game Birds
Red Wine;Shiraz;Game Birds
Other;Rioja, Red or White;Game Birds
Red Wine;Red Wine;Game Birds
Red Wine;Priorat;Game Birds
Red Wine;Pinot Noir;Game Birds
White Wine;Pinot Gris;Game Birds
Red Wine;Musigny, Red;Game Birds
Red Wine;Claret, Aged;Game Birds
Red Wine;Chateauneuf du Pape, Red;Game Birds
Red Wine;Cabernet Sauvignon;Game Birds
Red Wine;Cote Rotie (AOC);Game Birds
Other;Burgundy, Red or White;Game Birds
Red Wine;Brunello di Montalcino (DOCG);Game Birds
Red Wine;Bordeaux AOC Red;Game Birds
Red Wine;Barolo;Game Birds
Red Wine;Barbaresco DOCG;Game Birds
Red Wine;Amarone;Game Birds
Beer;Trappist;Game
Red Wine;Tempranillo;Game
Beer;Stout;Game
Beer;Scotch Ale;Game
Other;Rioja, Red or White;Game
Red Wine;Rhone, Red Wine;Game
Beer;Porter;Game
Red Wine;Pinot Noir;Game
Red Wine;Montefalco Roseo DOC;Game
Liquor;Madeira based Cocktails;Game
Other;Hermitage, Red/White;Game
Liquor;Gin Based Drinks;Game
Beer;Dubbel;Game
Beer;Doppelbock;Game
Beer;Dark Ale;Game
Liquor;Cherry Based Drinks;Game
Red Wine;Cabernet Sauvignon;Game
Red Wine;Cotes du Rhone Villages, Red;Game
Red Wine;Cotes de Provence, Red AOC;Game
Red Wine;Cote Rotie (AOC);Game
Red Wine;Bordeaux AOC Red;Game
Beer;Biere De Garde;Game
Red Wine;Bellet, Red AOC;Game
Red Wine;Barolo;Game
Red Wine;Barbaresco DOCG;Game
Red Wine;Bandol, Red AOC;Game
Red Wine;Amarone;Game
Red Wine;Aglianico;Game
Beer;Abbey Beer;Game
Dessert Wine;Vin Santo;Fruity Desserts
Dessert Wine;Vin de Glaciere;Fruity Desserts
Dessert Wine;Tokaji;Fruity Desserts
Beer;Stout;Fruity Desserts
Sherry;Sherry, Sweet;Fruity Desserts
Dessert Wine;Sauternes;Fruity Desserts
Dessert Wine;Riesling, Late Harvest;Fruity Desserts
White Wine;Riesling, Auslese;Fruity Desserts
White Wine;Riesling;Fruity Desserts
Port;Port, Vintage;Fruity Desserts
Port;Port, Ruby;Fruity Desserts
Dessert Wine;Muscat, Orange;Fruity Desserts
Dessert Wine;Muscat, Black;Fruity Desserts
Dairy;Muscat de Beaumes-de-Venise;Fruity Desserts
Dairy;Moscato d'Asti;Fruity Desserts
Dairy;Late Harvest Wines;Fruity Desserts
Beer;Lambic Fruit Beer;Fruity Desserts
Beer;Imperial Stout;Fruity Desserts
Dairy;Ice Wine;Fruity Desserts
White Wine;Gewurztraminer;Fruity Desserts
